WD_YM,UTIZN_CO_APRVNO,CALT_METH_NM,WD_BANKCD,DPOST_BANKCD,TRNSR_REQ_AMT
201901,15201162,익일정산,IEK,JVP,7662835
201901,12000603,익일정산,RLM,BVI,1000
201901,50000001,익일정산,ZVX,HZI,37132861
201901,11000741,익일정산,JVP,BVI,127844
201901,15200172,익일정산,EEB,JVP,1000
201901,15200020,익일정산,HZO,VEA,1000
201901,12000672,익일정산,KYG,TGT,3872408
201902,12000032,익일정산,VEA,XIE,560080
201902,12001219,익일정산,HZO,SHK,1000
201901,15201463,익일정산,CVN,HZO,1503208
201902,12000032,익일정산,JVP,VEA,47851719
201901,17000307,익일정산,ZVX,BVI,1314793
201901,12000658,익일정산,BVI,IEK,1111550
201901,12001288,익일정산,HZI,JVP,40184375
201902,12000582,익일정산,IUR,BVI,61432480
201901,12000056,익일정산,FYT,JVP,891389
201901,15201342,익일정산,KYG,VEA,739509
201901,12000063,익일정산,IEK,SHK,36371736
201901,50000001,익일정산,ZFS,BVI,308435
201902,12000122,익일정산,QDF,SHK,734271
201901,50000001,익일정산,KYG,KYG,317883
201901,15200224,익일정산,ZDD,QDF,209204
201901,17000307,익일정산,IUR,CVN,1457766
201901,12001361,익일정산,VEA,CVN,38418643
201901,12001354,익일정산,CVN,CVN,10626362
201901,12000672,익일정산,CAZ,CVN,1000
201901,14000517,익일정산,SHK,IEK,1364469
201901,15600011,익일정산,IEK,BVI,557878
201901,18000027,익일정산,IUR,SHK,561241
201902,14001628,익일정산,SHK,IEK,13913007
201901,50000001,익일정산,CVN,VEA,23891892
201901,50000001,익일정산,AHN,ZDD,1000
201901,21900260,익일정산,QDF,IEK,1000
201901,51000001,익일정산,CBX,JVP,528595
201901,21000018,익일정산,CAZ,IEK,6751125
201901,17000082,익일정산,FLX,XIE,34363514
201901,50000001,익일정산,AHN,ZDD,1000
201902,50000001,익일정산,HZI,VEA,453915
201902,14001770,익일정산,IEK,VEA,11374755
201901,17000442,익일정산,CVN,CVN,1000
201901,12000717,익일정산,JVP,IEK,10220
201901,14001770,익일정산,IEK,VEA,1874364
201901,12000032,익일정산,HZI,VEA,7976073
201901,14001569,익일정산,ZDD,SHK,2774867
201901,51000001,익일정산,BVI,CVN,54022441
201901,15201342,익일정산,RII,AHN,152303
201901,12000032,익일정산,HZI,FLX,44576431
201901,17000338,익일정산,HZI,XIE,1524250
201901,15600042,익일정산,PNA,SHK,1000
201901,21900374,익일정산,CAZ,IEK,594774
201901,14001251,익일정산,IEK,FLX,411899
201901,14000517,익일정산,SCD,VEA,921662
201901,17000255,익일정산,RBR,VEA,19911706
201901,15200594,익일정산,IEK,VEA,1000
201901,14001268,익일정산,IDN,BVI,272011573
201901,21000063,익일정산,RII,VEA,1251235
201901,12000032,익일정산,HZI,ZVX,10301274
201901,15201214,익일정산,CVN,BVI,138200713
201901,15201065,익일정산,IDN,CVN,882905
201901,12000357,익일정산,KYG,IEK,1784793
201901,20000132,익일정산,PNA,BVI,1000
201901,17000307,익일정산,SMH,SHK,1000
201901,59000001,익일정산,SHK,HZO,1000
201901,14000780,익일정산,JVP,FLX,38527245
201901,12000997,익일정산,JVP,VEA,29608460
201901,21900260,익일정산,CAZ,IEK,221339
201901,26000013,익일정산,BVI,BVI,744066
201901,12001039,익일정산,VEA,SHK,1896598
201901,21900170,익일정산,AHN,JVP,1579598
201901,15201342,익일정산,ZVX,XIE,157851
201901,15200262,익일정산,QDF,BVI,2651071
201901,15201342,익일정산,CVN,SHK,1000
201901,12001240,익일정산,BVI,FLX,15898168
201901,14000728,익일정산,CAZ,ZDD,1000
201901,12000025,익일정산,JVP,VEA,980278
201901,17000286,익일정산,XIE,SHK,974947
201901,12000627,익일정산,VEA,CVN,9881655
201901,14000801,익일정산,JVP,CVN,2314415
201901,14001310,익일정산,SHK,JVP,1966477
201901,12000032,익일정산,HZO,SHK,8745454
201901,17000345,익일정산,VEA,IEK,11494104
201901,12000236,익일정산,IUR,VEA,1607904
201902,12000821,익일정산,JOR,JVP,452319
201902,12000243,익일정산,VEA,JVP,644683
201901,12000032,익일정산,IEK,FYT,1000
201901,20000011,익일정산,HZO,SHK,1861426
201901,15201342,익일정산,KYG,TGT,1000
201901,12000032,익일정산,SHK,CVN,4042463
201901,12000115,익일정산,ZVX,SHK,43713851
201901,15201276,익일정산,KYG,JVP,1000
201901,11001063,익일정산,ZDD,SHK,721514
201901,14001185,익일정산,ZDD,SHK,1813804
201901,12000032,익일정산,HZI,ZVX,2339580
201902,12001330,익일정산,AIG,BVI,1000
201901,15201449,익일정산,JVP,CVN,515040
201901,11001212,익일정산,YCA,SHK,1000
201901,20000132,익일정산,HZO,VEA,412413
201901,15200525,익일정산,JVP,RII,1029536
201901,11001063,익일정산,SHK,QDF,1838464
201901,12000575,익일정산,CVN,VEA,265685
201901,21000032,익일정산,ZDD,BVI,8511848
201901,14000043,익일정산,IUR,BVI,1122553
201901,12000229,익일정산,IDN,CVN,1000
201901,21000032,익일정산,SCD,IEK,30903540
201902,15201449,익일정산,ZVX,SHK,884851
201901,12000063,익일정산,TGT,QDF,170581197
201901,51000001,익일정산,BVI,QDF,741507
201901,20000028,익일정산,QOB,FYT,97251366
201901,14000780,익일정산,RII,FLX,1000
201901,14001569,익일정산,ZDD,SHK,3376814
201901,12001378,익일정산,HZO,ZVX,874840
201901,14001846,익일정산,CBX,BVI,350614
201901,12001316,익일정산,IDN,SHK,1000
201901,15600011,익일정산,KYG,BVI,1862031
201901,12000032,익일정산,IEK,VEA,465655
201901,14001590,익일정산,VEA,CVN,945601
201902,21000032,익일정산,RII,KYG,1000
201901,12001385,익일정산,RBR,BVI,1302497
201901,12000364,익일정산,SHK,VEA,19881944
201901,15200134,익일정산,JVP,ZVX,9248647
201901,15600028,익일정산,KYG,CVN,1751992
201901,20000222,익일정산,BVI,BVI,18511981
201901,15201155,익일정산,JVP,IEK,254657
201902,17000262,익일정산,CVN,BVI,103292459
201902,12000267,익일정산,EEB,SHK,3010278
201902,14001756,익일정산,CVN,BVI,730997
201902,14000797,익일정산,TGT,SHK,777565
201901,12001022,익일정산,ZFS,BVI,1000
201901,26000013,익일정산,SMH,BVI,1000
201901,14001611,익일정산,CAZ,IEK,156135823
201901,12001288,익일정산,HZI,JVP,7630274
201901,12001385,익일정산,CAZ,VEA,376293
201901,15201342,익일정산,ZDD,ZDD,1000
201901,12001361,익일정산,JVP,ZVX,221028
201901,17000231,익일정산,IUR,CVN,2208643
201901,12000243,익일정산,ZDD,SHK,965311
201901,14001943,익일정산,ZFS,IUR,33602299
201902,15201380,익일정산,KYG,XIE,36758285
201901,15600059,익일정산,EEB,CVN,286509
201901,53000001,익일정산,ZVX,BVI,924397
201901,12001060,익일정산,KYG,CVN,6987317
201901,12000184,익일정산,VEA,CVN,32826809
201901,12000793,익일정산,IEK,EEB,1938868
201901,12001198,익일정산,CAZ,IEK,5427138
201901,51000001,익일정산,JVP,FLX,1370661
201901,15201342,익일정산,KYG,HZO,81020
201901,14000728,익일정산,SHK,BVI,1000
201901,12000212,익일정산,KYG,CVN,1000
201901,15600011,익일정산,KFW,BVI,1134119
201901,12001288,익일정산,JVP,BVI,948000062
201901,20000374,익일정산,VEA,ZDD,1491259
201901,12000274,익일정산,IEK,HZI,137316
201901,20000132,익일정산,CVN,BVI,3981281
201901,14001846,익일정산,XIE,VEA,1000
201901,15201283,익일정산,BVI,CVN,1000
201901,15300311,익일정산,QOB,BVI,1591165
201901,12000717,익일정산,SHK,BVI,44969443
201901,12000250,익일정산,JVP,VEA,80983165
201902,15201155,익일정산,JVP,BVI,12636960
201901,12000205,익일정산,EEB,SHK,912688
201901,15300311,익일정산,NXL,BVI,1000
201901,12000779,익일정산,IUR,CVN,825611
201901,12000032,익일정산,HZI,ZVX,45083669
201901,14001251,익일정산,CAZ,SHK,520869
201901,52000001,익일정산,ZDD,IEK,11607775
201901,14001877,익일정산,IUR,CVN,572307
201901,15200224,익일정산,IUR,IEK,178368
201902,12000018,익일정산,HZI,KYG,705839
201901,12001354,익일정산,NXL,BVI,358757
201901,14001787,익일정산,QDF,VEA,1272007
201902,50000001,익일정산,ZVX,KYG,1000
201901,11001298,익일정산,ZVX,SHK,405209
201902,11001212,익일정산,VEA,CVN,7867434
201902,17000352,익일정산,SHK,SHK,1000
201901,20000118,익일정산,IUR,BVI,1625308
201902,12001316,익일정산,CVN,CVN,1000
201902,12000018,익일정산,JVP,VEA,1000
201902,15201342,익일정산,VEA,XIE,1474002
201901,17000255,익일정산,ZDD,IEK,839588
201901,50000001,익일정산,CAZ,HZI,1000
201902,50000001,익일정산,JVP,IEK,1950138
201901,12000665,익일정산,CAZ,CVN,1879577
201901,14001943,익일정산,SHK,CVN,551205
201901,14001912,익일정산,KYG,SHK,1526924
201901,15201245,익일정산,RII,SHK,3238275
201901,12000388,익일정산,KYG,SHK,573090
201901,12000371,익일정산,VEA,VEA,9806726
201901,12000700,익일정산,QDF,ZVX,102688645
201901,20000132,익일정산,SMH,BVI,1303905
201901,15201342,익일정산,IUR,CBX,1000
201901,14001569,익일정산,BVI,BVI,1000
201901,14001846,익일정산,JVP,RII,1000
201901,12000032,익일정산,IUR,VEA,588861
201902,12000236,익일정산,PNA,VEA,1000
201901,12000063,익일정산,VEA,VEA,1000
201901,12000364,익일정산,SHK,VEA,2123996
201901,15201276,익일정산,NXL,CVN,405540
201901,20000222,익일정산,IUR,CVN,640614
201901,21900170,익일정산,ZDD,CVN,3253080
201901,15300418,익일정산,EEB,IEK,2098806
201901,20000042,익일정산,SHK,SHK,171153
201901,50000001,익일정산,EEB,ZDD,265378
201902,20000066,익일정산,JVP,BVI,62516187
201901,53000001,익일정산,KYG,CVN,1000
201901,14001666,익일정산,SHK,IEK,8208158
201901,15300342,익일정산,TGT,IEK,9278
201901,50000001,익일정산,AHN,RII,1000
201902,17000231,익일정산,IGI,EEB,1350557
201901,12000876,익일정산,JVP,CVN,1000
201901,15600028,익일정산,SHK,IEK,1956284
201901,14000915,익일정산,KYG,BVI,1000
201901,20000118,익일정산,KCK,CVN,402353
201901,11001298,익일정산,ZDD,SHK,1000
201901,50000001,익일정산,ZVX,XIE,1675747
201902,12000018,익일정산,JVP,VEA,1000
201901,15201162,익일정산,EEB,BVI,2905906
201901,12000779,익일정산,JVP,CVN,3470996
201901,12001288,익일정산,HZI,IEK,37166433
201901,53000001,익일정산,EEB,KYG,1000
201902,12000243,익일정산,SHK,IEK,2142196
201902,15201456,익일정산,HZO,IEK,1245030
201901,15201456,익일정산,HZI,VEA,2450478
201901,12000032,익일정산,JVP,CVN,16327051
201901,59000001,익일정산,CBX,BVI,1251728
201901,50000001,익일정산,IUR,HZO,1000
201902,12000032,익일정산,HZI,FLX,52286408
201901,15201342,익일정산,VEA,QDF,22807790
201901,15200570,익일정산,HZO,CVN,1379685
201901,20000253,익일정산,KYG,CVN,2334937
201902,15200435,익일정산,ZVX,SHK,15988095
201902,21700024,익일정산,RII,VEA,1782996
201901,20000374,익일정산,SHK,IEK,2396730
201902,20000080,익일정산,QDF,BVI,30685417
201901,12000755,익일정산,GPM,VEA,1000
201901,21900374,익일정산,KYG,CVN,1000
201901,12001347,익일정산,IUR,KYG,1000
201901,14001310,익일정산,SCD,BVI,2005629
201901,15200369,익일정산,SHK,BVI,1612894
201901,14001912,익일정산,VEA,CVN,34780317
201902,50000001,익일정산,SHK,EEB,1000
201901,12000357,익일정산,XIE,BVI,568400
201901,12000672,익일정산,VEA,CVN,9376571
201902,15201214,익일정산,CVN,JVP,243429
201901,14000801,익일정산,VEA,BVI,1812565
201901,15201155,익일정산,HZO,CVN,6511
201901,12000627,익일정산,JOR,IEK,177487
201901,12000371,익일정산,IUR,SHK,1864631
201901,12000779,익일정산,VEA,CVN,1000
201901,12000212,익일정산,IUR,CVN,1000
201901,12001378,익일정산,SHK,SHK,969012
201902,12000395,익일정산,BVI,SHK,77989712
201901,14001310,익일정산,QDF,JVP,3729204
201901,14001251,익일정산,VEA,IEK,15516393
201901,14001787,익일정산,SHK,CVN,9810486
201901,15200594,익일정산,CVN,IEK,7884964
201901,15201342,익일정산,CVN,ZDD,1000
201901,12000032,익일정산,HZI,FLX,18996234
201901,20000149,익일정산,QDF,IEK,1000
201901,15201342,익일정산,JVP,CVN,1000
201901,12000032,익일정산,RII,SHK,776616
201901,14001365,익일정산,KYG,FYT,872009
201901,14000915,익일정산,HZI,RII,37414650
201901,17000404,익일정산,IUR,SHK,907910
201901,15201342,익일정산,KYG,CBX,1000
201901,12000032,익일정산,HZI,FLX,34271702
201902,15700018,익일정산,JVP,CAZ,791189
201901,14001365,익일정산,SHK,FYT,612444
201901,14001538,익일정산,KFW,CVN,1000
201901,15200217,익일정산,SHK,IEK,1000
201901,14001538,익일정산,ZDD,SHK,3529221
201901,12000212,익일정산,IUR,CVN,861179
201901,15201342,익일정산,SHK,ZVX,948002
201901,12001347,익일정산,IUR,CVN,1000
201901,15201342,익일정산,KYG,XIE,3346749
201901,17000196,익일정산,JVP,BVI,962154
201901,20000042,익일정산,HZI,BVI,41833461
201901,15201252,익일정산,KFW,BVI,3419337
201901,14001635,익일정산,XIE,FLX,2619235
201901,50000001,익일정산,KYG,KYG,1000
201901,50000001,익일정산,AHN,KYG,1000
201901,12000340,익일정산,CVN,BVI,40880830
201901,59000001,익일정산,KYG,JVP,1000
201901,15201342,익일정산,KYG,RII,878556
201901,17000345,익일정산,QDF,IEK,2475788
201901,12001271,익일정산,JVP,RII,23443389
201902,20000118,익일정산,VEA,BVI,1000
201901,12001323,익일정산,SCD,SHK,1000
201901,12000793,익일정산,SHK,VEA,22112319
201901,12001112,익일정산,NXL,JVP,517309228
201901,20000035,익일정산,VEA,CVN,7279469
201901,20000253,익일정산,FLX,CVN,10611005
201901,12000942,익일정산,VEA,CVN,1364957
201901,21000018,익일정산,CVN,CVN,11879545
201902,20000118,익일정산,ZVX,CVN,2455392
201901,20000211,익일정산,CVN,HZI,35731799
201901,53000001,익일정산,IEK,CVN,1000
201901,50000001,익일정산,KYG,EEB,1000
201901,12000838,익일정산,JVP,CVN,18510199
201901,15201342,익일정산,CVN,SHK,511561
201901,53000001,익일정산,SHK,VEA,1575796
201901,14001943,익일정산,XIE,JVP,1000
201901,14001808,익일정산,KYG,SHK,2229091
201901,14001268,익일정산,IDN,SHK,1778561
201901,17000390,익일정산,JVP,CVN,1401226
201901,12000153,익일정산,IEK,CVN,1010688
201901,12000395,익일정산,RLM,IEK,61231
201902,12000018,익일정산,IUR,CVN,1281421
201901,50000001,익일정산,AHN,HZI,1634463
201901,12000997,익일정산,JVP,JVP,15565055
201901,20000035,익일정산,BVI,CVN,1000
201901,17000321,익일정산,RII,SHK,624142
201901,15201328,익일정산,JVP,BVI,3011907
201901,15300456,익일정산,CAZ,IEK,4522246
201901,18000010,익일정산,ZVX,BVI,16155235
201901,15201342,익일정산,VEA,QDF,1000
201902,12000371,익일정산,PNA,BVI,1000
201901,15201342,익일정산,TGT,CVN,1000
201901,12001316,익일정산,IEK,VEA,1000
201902,14001590,익일정산,AHN,SHK,1332739
201901,21900329,익일정산,KYG,KYG,506842
201901,14000690,익일정산,IUR,BVI,2318995
201901,12000063,익일정산,ZVX,CVN,624171
201901,12000890,익일정산,JVP,CVN,92175170
201901,21900329,익일정산,SHK,IEK,30486976
201901,12000153,익일정산,JVP,IEK,3889025
201901,12000032,익일정산,SHK,ZVX,12278361
201901,20000471,익일정산,ZDD,SHK,1000
201901,50000001,익일정산,JVP,HZI,1000
201901,12001112,익일정산,KYG,CVN,1000
201901,14001822,익일정산,VEA,VEA,6013978
201901,12000319,익일정산,SHK,FYT,46770781
201901,14001251,익일정산,GPM,SHK,1000
201901,12000056,익일정산,IGI,BVI,1021793
201901,11000710,익일정산,HZI,IEK,12977598
201901,15201245,익일정산,EEB,JVP,1837429
201901,14001846,익일정산,KYG,BVI,1000
201901,17000158,익일정산,BVI,FLX,1929946
201901,50000001,익일정산,AHN,JVP,1000
201901,12000056,익일정산,IUR,BVI,862372
201901,14000690,익일정산,TGT,SHK,401235
201901,17000231,익일정산,IUR,CVN,1053890
201901,17000307,익일정산,ZVX,VEA,64171
201902,14001628,익일정산,SCD,SHK,891549
201901,17000262,익일정산,SHK,KYG,1256172
201902,15201162,익일정산,KCK,BVI,1372785
201901,12001257,익일정산,GPM,SHK,1000
201901,14001185,익일정산,HQI,BVI,1000
201901,17000345,익일정산,RII,VEA,1936465
201901,12001392,익일정산,KYG,IEK,1000
201901,59000001,익일정산,CVN,VEA,1000
201901,15201342,익일정산,IEK,CBX,908515
201901,14001936,익일정산,VEA,VEA,1454294
201901,11900083,익일정산,JVP,RII,5789886
201901,15201342,익일정산,KYG,HZO,610092
201901,50000001,익일정산,AHN,EEB,1000
201902,12000333,익일정산,SHK,JVP,4926790
201901,59000001,익일정산,JVP,VEA,7337549
201901,50000001,익일정산,HZI,CBX,1000
201901,14001770,익일정산,GPM,BVI,1000
201901,53000001,익일정산,NXL,BVI,1365017
201901,12000032,익일정산,JVP,QDF,4857578
201902,12001316,익일정산,RII,BVI,1663754
201902,11000710,익일정산,JVP,IEK,18441261
201901,14001185,익일정산,HZO,VEA,614986326
201901,15201342,익일정산,KYG,HZO,1343076
201901,14001787,익일정산,SCD,SHK,1000
201901,20000011,익일정산,CAZ,SHK,1074452
201901,15201373,익일정산,NXL,VEA,1000
201902,17000321,익일정산,EEB,BVI,2187453
201901,15300342,익일정산,SHK,SHK,726216
201901,12000025,익일정산,FYT,SHK,1000
201901,20000035,익일정산,JVP,CVN,4823265
201902,12000094,익일정산,IEK,BVI,1000
201901,15201342,익일정산,ZDD,TGT,1000
201901,12000032,익일정산,HZI,IEK,2886110
201901,12000018,익일정산,SHK,FYT,1824671
201902,12000018,익일정산,JVP,IEK,82336036
201901,14001701,익일정산,FLX,BVI,182196512
201902,50000001,익일정산,KYG,KYG,1000
201901,14001635,익일정산,CAZ,IEK,8620926
201901,15300335,익일정산,HZI,IEK,1000
201901,15200255,익일정산,QOB,VEA,1022344
201901,12000838,익일정산,JVP,CVN,5501965
201901,11000097,익일정산,PNA,BVI,1000
201901,17000466,익일정산,JVP,VEA,1000
201901,20000239,익일정산,VEA,VEA,39802390
201901,17000345,익일정산,QDF,VEA,444065
201901,15301086,익일정산,TGT,BVI,1000
201901,20000523,익일정산,VEA,SHK,1000
201902,50000001,익일정산,KYG,IUR,1000
201902,14001590,익일정산,HZI,CVN,7082847
201901,12000786,익일정산,JVP,SHK,1385877
201901,17000442,익일정산,VEA,CVN,1000
201901,12001198,익일정산,GPM,BVI,1000
201901,20000132,익일정산,EEB,XIE,1600175
201901,21700024,익일정산,EEB,BVI,704996
201901,17000286,익일정산,XIE,VEA,4906868
201901,15300311,익일정산,JVP,CVN,872271
201901,21700024,익일정산,KYG,FLX,914949
201901,20000374,익일정산,BVI,VEA,6368585
201901,12001264,익일정산,JVP,VEA,25359543
201901,53000001,익일정산,KYG,SHK,1159769
201901,20000253,익일정산,BVI,CVN,1000
201901,12001330,익일정산,SHK,BVI,7962911
201901,17000231,익일정산,VEA,CVN,1000
201901,12000032,익일정산,SHK,RII,1000
201901,21900035,익일정산,KFW,CVN,1000
201901,20000042,익일정산,IUR,BVI,12996854
201901,15300425,익일정산,SHK,CVN,6033032
201901,15200369,익일정산,QDF,JVP,1531414
201901,14000801,익일정산,ZFS,BVI,3230319
201901,15201342,익일정산,ZVX,KYG,1000
201901,14001912,익일정산,VEA,CVN,19237001
201901,12001361,익일정산,VEA,IEK,30324879
201901,17000442,익일정산,XIE,VEA,1000
201901,15201342,익일정산,AHN,JVP,1000
201901,20000222,익일정산,IUR,CVN,622595
201902,15301086,익일정산,BVI,SHK,663826
201901,12000610,익일정산,JOR,BVI,1000
201901,17000411,익일정산,VEA,BVI,38934553
201901,14001268,익일정산,IDN,BVI,117689
201902,14000915,익일정산,HZI,BVI,713932
201901,14001642,익일정산,RBR,BVI,202842
201901,15201155,익일정산,QDF,CVN,8687618
201901,21000032,익일정산,CVN,BVI,547510
201901,15700018,익일정산,EEB,SHK,28972540
201901,12000326,익일정산,BVI,VEA,29861445
201901,21800021,익일정산,SHK,VEA,7922923
201901,11900104,익일정산,KYG,CVN,1000
201902,12001347,익일정산,HZI,SHK,1800874
201901,12000575,익일정산,CVN,JVP,8831281
201901,15201124,익일정산,CAZ,IEK,11621594
201901,15201380,익일정산,HQI,BVI,29489
201901,14001590,익일정산,QDF,CVN,627544
201901,12000191,익일정산,ZVX,CVN,513951
201901,12000658,익일정산,VEA,FYT,919295
201901,15200013,익일정산,VEA,BVI,14599778
201901,15200369,익일정산,HZO,IEK,1048946
201901,12000371,익일정산,BVI,BVI,1969026
201901,21000056,익일정산,JVP,IEK,1000
201901,14001642,익일정산,JVP,BVI,2547265
201902,12000748,익일정산,EEB,JVP,1000
201901,15600011,익일정산,RBR,BVI,1000
201901,15200525,익일정산,ZDD,IEK,377031
201901,59000001,익일정산,QDF,SHK,1000
201901,12001385,익일정산,FLX,ZVX,1000
201901,12000627,익일정산,ZVX,SHK,15049346
201901,17000352,익일정산,SCD,VEA,1000
201901,15200594,익일정산,EEB,JVP,501493
201901,59000001,익일정산,EEB,CAZ,1000
201901,50000001,익일정산,SHK,KYG,1000
201901,11001212,익일정산,SHK,IEK,1615580
201901,15201449,익일정산,HZI,SHK,967213
201901,11900083,익일정산,SHK,SHK,927218
201901,20000350,익일정산,QDF,CVN,4143129
201902,12001361,익일정산,BVI,HZI,1123966
201901,15200020,익일정산,KFW,BVI,12230931
201901,50000001,익일정산,HZO,FLX,19348222
201901,14001251,익일정산,SHK,VEA,782323
201901,21000070,익일정산,IEK,CVN,415558888
201901,14000690,익일정산,SHK,BVI,15773963
201901,12001219,익일정산,RBR,CVN,41240007
201901,14001185,익일정산,ZDD,BVI,3361755
201901,12001309,익일정산,FLX,IEK,2545645
201901,15201214,익일정산,FYT,QDF,177377
201901,17000127,익일정산,SHK,BVI,2125597
201901,17000013,익일정산,CVN,IEK,1070785
201901,12001378,익일정산,JVP,SHK,1685526
201902,50000001,익일정산,VEA,HZI,1234998
201901,11001298,익일정산,SMH,BVI,1457461
201901,11900111,익일정산,VEA,IEK,9611536
201901,12001053,익일정산,JVP,IEK,8839492
201901,12001060,익일정산,IEK,IEK,21558600
201901,21000018,익일정산,SHK,SHK,1000
201902,14001787,익일정산,VEA,KYG,9713381
201901,12001323,익일정산,CAZ,BVI,9776317
201901,14001628,익일정산,EEB,BVI,28524245
201901,17000231,익일정산,VEA,CVN,25025391
201901,12001295,익일정산,IUR,QDF,1000
201902,15201342,익일정산,SHK,TGT,1132992
201902,15201342,익일정산,HZI,IEK,1000
201901,59000001,익일정산,KYG,JVP,1000
201902,12000018,익일정산,JVP,VEA,9749875
201901,12001022,익일정산,RII,CVN,1000
201901,12001288,익일정산,SHK,ZVX,1491248
201901,12001039,익일정산,HZO,KYG,35048912
201902,12000032,익일정산,JVP,CVN,9451451
201901,11000741,익일정산,ZVX,BVI,498334
201901,15200127,익일정산,IUR,VEA,9819506
